"","sex","id","test","img","time","id_f","id_s","type","durata","p_sx","p_dx","v_sx","v_dx"
"352569","F","F245","t1","Intro",0,1,NA,"Fixation",1217,2.59,2.57,0,0
"352570","F","F245","t1","Intro",17,1,NA,"Fixation",1217,2.53,2.65,0,0
"352571","F","F245","t1","Intro",34,1,NA,"Fixation",1217,2.54,2.62,0,0
"352572","F","F245","t1","Intro",50,1,NA,"Fixation",1217,2.5,2.61,0,0
"352573","F","F245","t1","Intro",67,1,NA,"Fixation",1217,2.52,2.64,0,0
"352574","F","F245","t1","Intro",84,1,NA,"Fixation",1217,2.48,2.65,0,0
"352575","F","F245","t1","Intro",100,1,NA,"Fixation",1217,2.51,2.61,0,0
"352576","F","F245","t1","Intro",117,1,NA,"Fixation",1217,2.52,2.62,0,0
"352577","F","F245","t1","Intro",134,1,NA,"Fixation",1217,2.52,2.63,0,0
"352578","F","F245","t1","Intro",150,1,NA,"Fixation",1217,2.52,2.65,0,0
"352579","F","F245","t1","Intro",167,1,NA,"Fixation",1217,2.51,2.66,0,0
"352580","F","F245","t1","Intro",184,1,NA,"Fixation",1217,2.54,2.61,0,0
"352581","F","F245","t1","Intro",200,1,NA,"Fixation",1217,2.56,2.63,0,0
"352582","F","F245","t1","Intro",217,1,NA,"Fixation",1217,2.54,2.68,0,0
"352583","F","F245","t1","Intro",234,1,NA,"Fixation",1217,2.53,2.68,0,0
"352584","F","F245","t1","Intro",250,NA,1,"Saccade",17,2.56,2.68,0,0
"352585","F","F245","t1","Intro",267,2,NA,"Fixation",167,2.59,2.7,0,0
"352586","F","F245","t1","Intro",284,2,NA,"Fixation",167,2.56,2.7,0,0
"352587","F","F245","t1","Intro",300,2,NA,"Fixation",167,2.58,2.7,0,0
"352588","F","F245","t1","Intro",317,2,NA,"Fixation",167,2.59,2.7,0,0
"352589","F","F245","t1","Intro",334,2,NA,"Fixation",167,2.48,2.65,0,0
"352590","F","F245","t1","Intro",350,2,NA,"Fixation",167,2.57,2.69,0,0
"352591","F","F245","t1","Intro",367,2,NA,"Fixation",167,2.61,2.65,0,0
"352592","F","F245","t1","Intro",384,2,NA,"Fixation",167,2.59,2.67,0,0
"352593","F","F245","t1","Intro",400,2,NA,"Fixation",167,2.59,2.69,0,0
"352594","F","F245","t1","Intro",417,2,NA,"Fixation",167,2.59,2.7,0,0
"352595","F","F245","t1","Intro",434,NA,2,"Saccade",17,2.57,2.73,0,0
"352596","F","F245","t1","Intro",450,3,NA,"Fixation",283,2.61,2.72,0,0
"352597","F","F245","t1","Intro",467,3,NA,"Fixation",283,2.57,2.71,0,0
"352598","F","F245","t1","Intro",484,3,NA,"Fixation",283,2.59,2.71,0,0
"352599","F","F245","t1","Intro",500,3,NA,"Fixation",283,2.59,2.71,0,0
"352600","F","F245","t1","Intro",517,3,NA,"Fixation",283,2.61,2.7,0,0
"352601","F","F245","t1","Intro",534,3,NA,"Fixation",283,2.59,2.7,0,0
"352602","F","F245","t1","Intro",550,3,NA,"Fixation",283,2.6,2.72,0,0
"352603","F","F245","t1","Intro",567,3,NA,"Fixation",283,2.59,NA,0,4
"352604","F","F245","t1","Intro",584,3,NA,"Fixation",283,2.6,2.7,0,0
"352605","F","F245","t1","Intro",600,3,NA,"Fixation",283,2.59,2.72,0,0
"352606","F","F245","t1","Intro",617,3,NA,"Fixation",283,2.63,2.74,0,0
"352607","F","F245","t1","Intro",634,3,NA,"Fixation",283,2.59,2.74,0,0
"352608","F","F245","t1","Intro",650,3,NA,"Fixation",283,2.62,2.7,0,0
"352609","F","F245","t1","Intro",667,3,NA,"Fixation",283,2.56,2.69,0,0
"352610","F","F245","t1","Intro",684,3,NA,"Fixation",283,2.54,2.68,0,0
"352611","F","F245","t1","Intro",700,3,NA,"Fixation",283,2.55,2.67,0,0
"352612","F","F245","t1","Intro",717,3,NA,"Fixation",283,2.52,2.7,0,0
"352613","F","F245","t1","Intro",734,NA,3,"Saccade",67,2.51,2.7,0,0
"352614","F","F245","t1","Intro",750,NA,3,"Saccade",67,2.57,2.66,0,0
"352615","F","F245","t1","Intro",767,NA,3,"Saccade",67,2.51,2.75,0,0
"352616","F","F245","t1","Intro",784,NA,3,"Saccade",67,2.5,2.66,0,0
"352617","F","F245","t1","Intro",800,4,NA,"Fixation",84,2.51,2.65,0,0
"352618","F","F245","t1","Intro",817,4,NA,"Fixation",84,2.49,2.65,0,0
"352619","F","F245","t1","Intro",834,4,NA,"Fixation",84,2.52,2.64,0,0
"352620","F","F245","t1","Intro",850,4,NA,"Fixation",84,2.52,2.65,0,0
"352621","F","F245","t1","Intro",867,4,NA,"Fixation",84,2.63,2.65,0,0
"352622","F","F245","t1","Intro",884,NA,4,"Saccade",84,2.58,2.69,0,0
"352623","F","F245","t1","Intro",901,NA,4,"Saccade",84,2.57,2.7,0,0
"352624","F","F245","t1","Intro",917,NA,4,"Saccade",84,2.53,2.65,0,0
"352625","F","F245","t1","Intro",934,NA,4,"Saccade",84,2.53,2.77,0,0
"352626","F","F245","t1","Intro",951,NA,4,"Saccade",84,2.56,2.65,0,0
"352627","F","F245","t1","Intro",968,5,NA,"Fixation",250,2.53,2.69,0,0
"352628","F","F245","t1","Intro",984,5,NA,"Fixation",250,2.62,2.7,0,0
"352629","F","F245","t1","Intro",1001,5,NA,"Fixation",250,2.59,2.68,0,0
"352630","F","F245","t1","Intro",1018,5,NA,"Fixation",250,2.64,2.75,0,0
"352631","F","F245","t1","Intro",1034,5,NA,"Fixation",250,2.54,2.69,0,0
"352632","F","F245","t1","Intro",1051,5,NA,"Fixation",250,2.54,2.73,0,0
"352633","F","F245","t1","Intro",1068,5,NA,"Fixation",250,2.62,NA,0,4
"352634","F","F245","t1","Intro",1084,5,NA,"Fixation",250,2.54,2.72,0,0
"352635","F","F245","t1","Intro",1101,5,NA,"Fixation",250,2.6,2.72,0,0
"352636","F","F245","t1","Intro",1118,5,NA,"Fixation",250,2.61,2.7,0,0
"352637","F","F245","t1","Intro",1134,5,NA,"Fixation",250,2.59,2.74,0,0
"352638","F","F245","t1","Intro",1151,5,NA,"Fixation",250,2.6,2.75,0,0
"352639","F","F245","t1","Intro",1168,5,NA,"Fixation",250,2.63,2.78,0,0
"352640","F","F245","t1","Intro",1184,5,NA,"Fixation",250,2.56,2.73,0,0
"352641","F","F245","t1","Intro",1201,5,NA,"Fixation",250,2.61,2.7,0,0
"352642","F","F245","t1","Intro",1218,NA,5,"Saccade",17,2.63,2.75,0,0
"352643","F","F245","t1","Intro",1234,6,NA,"Fixation",67,2.59,2.73,0,0
"352644","F","F245","t1","Intro",1251,6,NA,"Fixation",67,2.6,2.76,0,0
"352645","F","F245","t1","Intro",1268,6,NA,"Fixation",67,2.54,2.84,0,0
"352646","F","F245","t1","Intro",1284,6,NA,"Fixation",67,2.56,2.77,0,0
"352647","F","F245","t1","Intro",1301,NA,6,"Saccade",67,2.51,2.75,0,0
"352648","F","F245","t1","Intro",1318,NA,6,"Saccade",67,2.56,2.76,0,0
"352649","F","F245","t1","Intro",1334,NA,6,"Saccade",67,2.58,2.77,0,0
"352650","F","F245","t1","Intro",1351,NA,6,"Saccade",67,2.58,2.7,0,0
"352651","F","F245","t1","Intro",1368,7,NA,"Fixation",167,2.51,2.81,0,0
"352652","F","F245","t1","Intro",1384,7,NA,"Fixation",167,2.53,2.72,0,0
"352653","F","F245","t1","Intro",1401,7,NA,"Fixation",167,2.6,2.7,0,0
"352654","F","F245","t1","Intro",1418,7,NA,"Fixation",167,2.57,2.72,0,0
"352655","F","F245","t1","Intro",1434,7,NA,"Fixation",167,2.59,2.65,0,0
"352656","F","F245","t1","Intro",1451,7,NA,"Fixation",167,2.57,2.73,0,0
"352657","F","F245","t1","Intro",1468,7,NA,"Fixation",167,2.6,2.75,0,0
"352658","F","F245","t1","Intro",1484,7,NA,"Fixation",167,2.57,2.75,0,0
"352659","F","F245","t1","Intro",1501,7,NA,"Fixation",167,2.52,2.72,0,0
"352660","F","F245","t1","Intro",1518,7,NA,"Fixation",167,2.6,2.76,0,0
"352661","F","F245","t1","Intro",1534,NA,7,"Saccade",17,2.57,2.73,0,0
"352662","F","F245","t1","Intro",1551,8,NA,"Fixation",550,2.59,2.74,0,0
"352663","F","F245","t1","Intro",1568,8,NA,"Fixation",550,2.54,2.77,0,0
"352664","F","F245","t1","Intro",1584,8,NA,"Fixation",550,2.64,2.76,0,0
"352665","F","F245","t1","Intro",1601,8,NA,"Fixation",550,2.69,2.81,0,0
"352666","F","F245","t1","Intro",1618,8,NA,"Fixation",550,2.68,2.83,0,0
"352667","F","F245","t1","Intro",1634,8,NA,"Fixation",550,2.66,2.79,0,0
"352668","F","F245","t1","Intro",1651,8,NA,"Fixation",550,2.68,2.88,0,0
"352669","F","F245","t1","Intro",1668,8,NA,"Fixation",550,2.62,2.76,0,0
"352670","F","F245","t1","Intro",1684,8,NA,"Fixation",550,2.69,2.8,0,0
"352671","F","F245","t1","Intro",1701,8,NA,"Fixation",550,2.67,2.82,0,0
"352672","F","F245","t1","Intro",1718,8,NA,"Fixation",550,2.7,2.77,0,0
"352673","F","F245","t1","Intro",1734,8,NA,"Fixation",550,2.68,2.86,0,0
"352674","F","F245","t1","Intro",1751,8,NA,"Fixation",550,2.67,2.81,0,0
"352675","F","F245","t1","Intro",1768,8,NA,"Fixation",550,2.67,2.9,0,0
"352676","F","F245","t1","Intro",1784,8,NA,"Fixation",550,2.64,2.8,0,0
"352677","F","F245","t1","Intro",1801,8,NA,"Fixation",550,2.64,2.77,0,0
"352678","F","F245","t1","Intro",1818,8,NA,"Fixation",550,2.71,2.8,0,0
"352679","F","F245","t1","Intro",1834,8,NA,"Fixation",550,2.64,2.83,0,0
"352680","F","F245","t1","Intro",1851,8,NA,"Fixation",550,2.66,2.78,0,0
"352681","F","F245","t1","Intro",1868,8,NA,"Fixation",550,2.6,2.82,0,0
"352682","F","F245","t1","Intro",1884,8,NA,"Fixation",550,2.69,2.77,0,0
"352683","F","F245","t1","Intro",1901,8,NA,"Fixation",550,2.63,2.76,0,0
"352684","F","F245","t1","Intro",1918,8,NA,"Fixation",550,2.65,2.77,0,0
"352685","F","F245","t1","Intro",1934,8,NA,"Fixation",550,2.63,2.79,0,0
"352686","F","F245","t1","Intro",1951,8,NA,"Fixation",550,2.67,2.79,0,0
"352687","F","F245","t1","Intro",1968,8,NA,"Fixation",550,2.64,2.8,0,0
"352688","F","F245","t1","Intro",1984,8,NA,"Fixation",550,2.63,2.82,0,0
"352689","F","F245","t1","Intro",2001,8,NA,"Fixation",550,2.62,2.78,0,0
"352690","F","F245","t1","Intro",2018,8,NA,"Fixation",550,2.6,2.79,0,0
"352691","F","F245","t1","Intro",2034,8,NA,"Fixation",550,2.66,2.78,0,0
"352692","F","F245","t1","Intro",2051,8,NA,"Fixation",550,2.64,2.68,0,0
"352693","F","F245","t1","Intro",2068,8,NA,"Fixation",550,2.57,2.75,0,0
"352694","F","F245","t1","Intro",2084,8,NA,"Fixation",550,2.62,2.69,0,0
"352695","F","F245","t1","Intro",2101,NA,8,"Saccade",33,2.58,2.74,0,0
"352696","F","F245","t1","Intro",2118,NA,8,"Saccade",33,2.59,2.74,0,0
"352697","F","F245","t1","Intro",2134,9,NA,"Fixation",133,2.59,2.73,0,0
"352698","F","F245","t1","Intro",2151,9,NA,"Fixation",133,2.58,2.78,0,0
"352699","F","F245","t1","Intro",2168,9,NA,"Fixation",133,2.56,2.72,0,0
"352700","F","F245","t1","Intro",2184,9,NA,"Fixation",133,2.52,2.69,0,0
"352701","F","F245","t1","Intro",2201,9,NA,"Fixation",133,2.57,2.73,0,0
"352702","F","F245","t1","Intro",2217,9,NA,"Fixation",133,2.59,2.71,0,0
"352703","F","F245","t1","Intro",2234,9,NA,"Fixation",133,2.56,2.69,0,0
"352704","F","F245","t1","Intro",2251,9,NA,"Fixation",133,2.57,2.67,0,0
"352705","F","F245","t1","Intro",2267,NA,9,"Saccade",17,2.52,2.71,0,0
"352706","F","F245","t1","Intro",2284,10,NA,"Fixation",117,2.56,2.72,0,0
"352707","F","F245","t1","Intro",2301,10,NA,"Fixation",117,2.52,2.72,0,0
